name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Shewanella	22	genus	0	1	0	0.0
Isosphaera pallida	128	species	5529304	3	1	0.0
Borreliella burgdorferi	139	species	1329613	2	1	0.0
Treponema denticola	158	species	2843201	1	1	0.0
Leptospira biflexa	172	species	3953768	1	1	0.0
Campylobacter jejuni	197	species	6156435	1	1	0.0
Helicobacter pylori	210	species	2044699	3	3	0.0
Helicobacter acinonychis	212	species	1557588	1	1	0.0
Pseudomonas aeruginosa	287	species	22457305	70	69	0.000404454
Pseudomonas mendocina	300	species	5293211	1	0	0.0
Pseudomonas putida	303	species	6888188	3	1	0.0
Ralstonia pickettii	329	species	6378979	1	1	0.0
Xanthomonas citri	346	species	17318955	3	0	0.0
Agrobacterium tumefaciens	358	species	9211775	1	1	0.0
Bradyrhizobium sp.	376	species	7547693	1	0	0.0
Legionella pneumophila	446	species	15688009	1	1	0.0
Legionella hackeliae	449	species	3570857	1	1	0.0
Acinetobacter baumannii	470	species	11595472	10	1	6.44841e-41
Moraxella catarrhalis	480	species	2846413	1	1	0.0
Neisseria lactamica	486	species	2220606	1	1	0.0
Chromobacterium violaceum	536	species	4751080	1	1	0.0
Citrobacter koseri	545	species	4735357	1	1	0.0
Citrobacter freundii	546	species	16193243	2	2	0.0
[Enterobacter] aerogenes	548	species	10750562	153	150	0.00117766
Enterobacter cloacae	550	species	10083180	1	1	0.0
Erwinia amylovora	552	species	3869718	1	1	0.0
Escherichia coli	562	species	12319210	9	7	0.0
Klebsiella oxytoca	571	species	16779606	1	0	0.0
Klebsiella pneumoniae	573	species	15713353	22	14	0.000119149
Morganella morganii	582	species	3853791	1	1	0.0
Proteus mirabilis	584	species	5337360	1	0	0.0
Proteus vulgaris	585	species	3794983	1	0	0.0
Shigella flexneri	623	species	4763519	1	0	0.0
Xenorhabdus nematophila	628	species	4586662	1	1	0.0
Vibrio cholerae	666	species	6170861	3	1	0.0
Vibrio vulnificus	672	species	10215744	1	1	0.0
Vibrio campbellii	680	species	12090206	1	0	0.0
Vibrio natriegens	691	species	10692018	1	1	0.0
Aggregatibacter actinomycetemcomitans	714	species	4378647	1	1	0.0
Haemophilus influenzae	727	species	2672708	5	5	0.0
Haemophilus parainfluenzae	729	species	2086875	17	16	0.0
Histophilus somni	731	species	2138367	1	1	0.0
Aggregatibacter aphrophilus	732	species	3520359	1	0	0.0
Bartonella bacilliformis	774	species	1444212	1	0	0.0
Rickettsia rickettsii	783	species	1265141	1	0	0.0
Orientia tsutsugamushi	784	species	2068019	2	2	0.0
Bacteroides fragilis	817	species	7824806	37	36	0.00077386
Bacteroides vulgatus	821	species	5163189	1	0	0.0
Parabacteroides distasonis	823	species	4811379	2	2	0.0
Sebaldella termitidis	826	species	4486650	1	1	0.0
Campylobacter ureolyticus	827	species	1641887	2	1	0.0
Fusobacterium nucleatum	851	species	2948417	44	42	0.000616124
Ehrlichia chaffeensis	945	species	1174554	1	1	0.0
Herbaspirillum seropedicae	964	species	8221139	1	1	0.0
Cellulophaga lytica	979	species	3795066	1	1	0.0
Pedobacter heparinus	984	species	5167383	1	1	0.0
Flavobacterium johnsoniae	986	species	5603295	4	3	0.0
Flavobacterium columnare	996	species	6492116	1	1	0.0
Marivirga tractuosa	1006	species	4516490	1	0	0.0
Weeksella virosa	1014	species	2272954	1	1	0.0
Trichodesmium erythraeum	1206	species	7750108	2	2	0.0
Prochlorococcus marinus	1219	species	1879471	1	1	0.0
Finegoldia magna	1260	species	1986740	1	1	0.0
Micrococcus luteus	1270	species	2501097	1	1	0.0
Staphylococcus	1279	genus	0	18	3	0.0
Staphylococcus aureus	1280	species	7252422	1031	962	0.0183182
Staphylococcus epidermidis	1282	species	3296362	23	3	3.70139e-13
Staphylococcus haemolyticus	1283	species	2629003	1	0	0.0
Staphylococcus simulans	1286	species	2647552	3	0	1.10963e-19
Staphylococcus xylosus	1288	species	8411206	1	1	0.0
Staphylococcus warneri	1292	species	2560716	3	1	0.000243728
Staphylococcus schleiferi	1295	species	12494798	3	1	1.61215e-29
Streptococcus	1301	genus	0	1	0	0.0
Streptococcus oralis	1303	species	1958690	2	2	0.0
Streptococcus agalactiae	1311	species	5721038	1	1	0.0
Streptococcus pneumoniae	1313	species	2272871	2	2	0.0
Streptococcus parasanguinis	1318	species	2162630	3	3	0.0
Streptococcus anginosus	1328	species	2557124	3	2	0.0
Streptococcus dysgalactiae	1334	species	2149105	1	1	0.0
Streptococcus intermedius	1338	species	1963517	1	1	0.0
Enterococcus	1350	genus	0	1	0	0.0
Lactococcus lactis	1358	species	2704731	2	0	0.0
Lactococcus piscium	1364	species	2503066	1	1	0.0
Bacillus	1386	genus	0	2	0	0.0
Bacillus anthracis	1392	species	17446789	1	0	0.0
Bacillus cereus	1396	species	9676532	3	2	0.0
Bacillus megaterium	1404	species	5334474	3	3	0.0
Paenibacillus polymyxa	1406	species	6883167	1	1	0.0
Bacillus pumilus	1408	species	20721195	3	2	0.0
Lysinibacillus sphaericus	1421	species	14371778	1	0	0.0
Parageobacillus thermoglucosidans	1426	species	5935916	1	1	0.0
Bacillus thuringiensis	1428	species	10269592	8	5	0.0
Sporosarcina psychrophila	1476	species	4674191	1	1	0.0
Clostridium acetobutylicum	1488	species	4136895	1	1	0.0
Clostridium botulinum	1491	species	4637504	5	4	0.0
Clostridium butyricum	1492	species	13843423	1	1	0.0
Clostridium cellulovorans	1493	species	5262222	1	0	0.0
Clostridioides difficile	1496	species	6297836	5	5	0.0
Clostridium pasteurianum	1501	species	7159922	6	4	0.0
Clostridium perfringens	1502	species	6907798	2	2	0.0
Clostridium sporogenes	1509	species	8284974	1	0	0.0
[Clostridium] stercorarium	1510	species	4042789	1	1	0.0
Clostridium tetani	1513	species	2869591	2	2	0.0
Clostridium beijerinckii	1520	species	6161692	3	1	0.0
Clostridium kluyveri	1534	species	3989551	1	0	0.0
Clostridium ljungdahlii	1538	species	4630065	1	0	0.0
Clostridium novyi	1542	species	2547720	1	1	0.0
Lactobacillus	1578	genus	0	1	0	0.0
Lactobacillus brevis	1580	species	2493592	1	1	0.0
Lactobacillus plantarum	1590	species	8684028	1	1	0.0
Lactobacillus salivarius	1624	species	2663133	1	1	0.0
Listeria monocytogenes	1639	species	5926303	1	1	0.0
Bifidobacterium breve	1685	species	2328021	1	1	0.0
Corynebacterium pseudotuberculosis	1719	species	6595197	716	635	0.0
Peptoclostridium acidaminophilum	1731	species	3055036	1	1	0.0
Propionibacterium acnes	1747	species	3361368	94	93	0.00576461
Mycobacterium smegmatis	1772	species	20962296	1	0	0.0
Mycoplasma mycoides	2102	species	2100167	1	1	0.0
Mycoplasma pulmonis	2107	species	963879	1	1	0.0
Mycoplasma fermentans	2115	species	1048137	2	2	0.0
Mycoplasma flocculare	2128	species	778866	1	1	0.0
Spiroplasma apis	2137	species	1160554	1	1	0.0
Spiroplasma mirum	2144	species	2265199	2	0	0.0
Mesoplasma florum	2151	species	809524	1	1	0.0
Methanococcus voltae	2188	species	1936387	1	1	0.0
Methanotorris igneus	2189	species	1854197	2	2	0.0
